architecture,uid,dataset,boundary_layer,predicted_first_deviation_layer,error_layers,bucket,within_1,within_2,predicted_first_action,rescued
polar,gqa:gqa_ge_06434348,gqa,6,,,never,False,False,FULL,False
polar,gqa:gqa_ge_07448711,gqa,7,,,never,False,False,FULL,False
polar,gqa:gqa_ge_12538745,gqa,5,,,never,False,False,FULL,False
polar,gqa:gqa_ge_12556656,gqa,15,,,never,False,False,FULL,False
polar,gqa:gqa_ge_14160233,gqa,12,,,never,False,False,FULL,False
polar,gqa:gqa_gh_00179472,gqa,14,,,never,False,False,FULL,False
polar,gqa:gqa_gh_00393332,gqa,7,21,14,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_00498348,gqa,20,19,-1,within_1_early,True,True,WRITE_ONLY,False
polar,gqa:gqa_gh_00784470,gqa,23,0,-23,too_early,False,False,READ_ONLY,False
polar,gqa:gqa_gh_0123475,gqa,20,,,never,False,False,FULL,False
polar,gqa:gqa_gh_01907496,gqa,8,,,never,False,False,FULL,False
polar,gqa:gqa_gh_02172518,gqa,3,,,never,False,False,FULL,False
polar,gqa:gqa_gh_02346952,gqa,22,24,2,within_2_late,False,True,WRITE_ONLY,False
polar,gqa:gqa_gh_02648995,gqa,7,,,never,False,False,FULL,False
polar,gqa:gqa_gh_04816366,gqa,1,,,never,False,False,FULL,False
polar,gqa:gqa_gh_05555883,gqa,23,14,-9,too_early,False,False,WRITE_ONLY,True
polar,gqa:gqa_gh_06231955,gqa,19,23,4,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_06434721,gqa,21,,,never,False,False,FULL,False
polar,gqa:gqa_gh_06513653,gqa,9,24,15,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_06576145,gqa,12,,,never,False,False,FULL,False
polar,gqa:gqa_gh_06832107,gqa,0,,,never,False,False,FULL,False
polar,gqa:gqa_gh_06988888,gqa,14,,,never,False,False,FULL,False
polar,gqa:gqa_gh_071016612,gqa,1,16,15,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_07325803,gqa,17,21,4,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_07362328,gqa,1,9,8,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_08192457,gqa,18,,,never,False,False,FULL,False
polar,gqa:gqa_gh_0820856,gqa,9,17,8,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_10379664,gqa,9,,,never,False,False,FULL,False
polar,gqa:gqa_gh_10563465,gqa,9,,,never,False,False,FULL,False
polar,gqa:gqa_gh_10720915,gqa,16,0,-16,too_early,False,False,READ_ONLY,False
polar,gqa:gqa_gh_11130463,gqa,25,,,never,False,False,FULL,False
polar,gqa:gqa_gh_11350735,gqa,14,,,never,False,False,FULL,False
polar,gqa:gqa_gh_11771087,gqa,7,21,14,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_13622572,gqa,21,,,never,False,False,FULL,False
polar,gqa:gqa_gh_14601835,gqa,4,19,15,too_late,False,False,WRITE_ONLY,False
polar,gqa:gqa_gh_15149528,gqa,15,,,never,False,False,FULL,False
polar,gqa:gqa_gh_15539526,gqa,1,,,never,False,False,FULL,False
polar,gqa:gqa_gh_1625775,gqa,2,,,never,False,False,FULL,False
polar,gqa:gqa_gh_16816815,gqa,25,,,never,False,False,FULL,False
polar,gqa:gqa_gh_17235569,gqa,1,1,0,exact,True,True,READ_ONLY,False
polar,gqa:gqa_gh_17412313,gqa,23,,,never,False,False,FULL,False
polar,gqa:gqa_gh_18927231,gqa,21,,,never,False,False,FULL,False
polar,gqa:gqa_gh_19934073,gqa,13,,,never,False,False,FULL,False
polar,textvqa:textvqa_22564,textvqa,12,,,never,False,False,FULL,False
polar,textvqa:textvqa_25354,textvqa,23,,,never,False,False,FULL,False
polar,textvqa:textvqa_26157,textvqa,2,,,never,False,False,FULL,False
polar,textvqa:textvqa_27238,textvqa,6,,,never,False,False,FULL,False
polar,textvqa:textvqa_27877,textvqa,24,,,never,False,False,FULL,False
polar,textvqa:textvqa_30738,textvqa,15,,,never,False,False,FULL,False
polar,textvqa:textvqa_32900,textvqa,1,,,never,False,False,FULL,False
polar,textvqa:textvqa_33193,textvqa,26,23,-3,too_early,False,False,WRITE_ONLY,False
polar,textvqa:textvqa_train_1012,textvqa,27,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_1062,textvqa,19,18,-1,within_1_early,True,True,READ_ONLY,False
polar,textvqa:textvqa_train_10915,textvqa,19,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_1097,textvqa,19,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_11104,textvqa,8,0,-8,too_early,False,False,READ_ONLY,False
polar,textvqa:textvqa_train_11763,textvqa,13,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_1294,textvqa,27,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_14293,textvqa,26,22,-4,too_early,False,False,WRITE_ONLY,True
polar,textvqa:textvqa_train_14317,textvqa,7,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_14755,textvqa,16,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_15100,textvqa,14,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_15287,textvqa,9,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_17888,textvqa,14,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_18295,textvqa,0,3,3,too_late,False,False,READ_ONLY,False
polar,textvqa:textvqa_train_19343,textvqa,0,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_19648,textvqa,13,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_19692,textvqa,22,3,-19,too_early,False,False,READ_ONLY,False
polar,textvqa:textvqa_train_20166,textvqa,0,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_21220,textvqa,16,3,-13,too_early,False,False,READ_ONLY,False
polar,textvqa:textvqa_train_21538,textvqa,14,4,-10,too_early,False,False,WRITE_ONLY,False
polar,textvqa:textvqa_train_2192,textvqa,24,7,-17,too_early,False,False,READ_ONLY,False
polar,textvqa:textvqa_train_22087,textvqa,8,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_22147,textvqa,21,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_2773,textvqa,3,19,16,too_late,False,False,WRITE_ONLY,False
polar,textvqa:textvqa_train_294,textvqa,14,11,-3,too_early,False,False,IGNORE,False
polar,textvqa:textvqa_train_6920,textvqa,4,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_7139,textvqa,14,0,-14,too_early,False,False,READ_ONLY,True
polar,textvqa:textvqa_train_7413,textvqa,21,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_8037,textvqa,1,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_8319,textvqa,20,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_8564,textvqa,11,22,11,too_late,False,False,WRITE_ONLY,False
polar,textvqa:textvqa_train_8903,textvqa,0,,,never,False,False,FULL,False
polar,textvqa:textvqa_train_9350,textvqa,18,19,1,within_1_late,True,True,WRITE_ONLY,False
polar,textvqa:textvqa_train_962,textvqa,13,,,never,False,False,FULL,False
online,chartqa:chartqa_train_1419_cc3cd6b6fb,chartqa,13,3,-10,too_early,False,False,WRITE_ONLY,False
online,chartqa:chartqa_train_1419_ffb1f1e36b,chartqa,25,3,-22,too_early,False,False,WRITE_ONLY,False
online,chartqa:chartqa_train_24837839005697_c5edbc94dd,chartqa,25,1,-24,too_early,False,False,IGNORE,False
online,chartqa:chartqa_train_26334874005187_ed2d25b0b6,chartqa,8,22,14,too_late,False,False,WRITE_ONLY,False
online,chartqa:chartqa_train_4927_2c801d4853,chartqa,16,5,-11,too_early,False,False,IGNORE,False
online,chartqa:chartqa_train_multi_col_100762_8f5272c7ab,chartqa,8,6,-2,within_2_early,False,True,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_1533_3446e3e4f7,chartqa,14,6,-8,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_20224_214c688b44,chartqa,5,8,3,too_late,False,False,IGNORE,False
online,chartqa:chartqa_train_multi_col_20596_70e7b333b3,chartqa,15,6,-9,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_21014_07ce7be117,chartqa,16,0,-16,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_40114_c4ce7d4315,chartqa,10,6,-4,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_698_fedd1081b8,chartqa,5,3,-2,within_2_early,False,True,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_80242_83b9c4d789,chartqa,7,6,-1,within_1_early,True,True,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_80943_3bd5a29766,chartqa,26,3,-23,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_multi_col_87_c989e8fd82,chartqa,4,6,2,within_2_late,False,True,READ_ONLY,False
online,chartqa:chartqa_train_two_col_100104_ade6978497,chartqa,16,6,-10,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_101173_cb42827db0,chartqa,24,3,-21,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_102131_ad3d344d01,chartqa,6,3,-3,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_102193_8f40111dba,chartqa,4,0,-4,too_early,False,False,IGNORE,False
online,chartqa:chartqa_train_two_col_102964_48e635c72f,chartqa,13,0,-13,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_20323_05193fc395_dup1_row20739,chartqa,11,3,-8,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_20489_5a1a0da66c,chartqa,18,3,-15,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_20936_1551a225aa,chartqa,16,3,-13,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_21319_28e8a9883a,chartqa,26,1,-25,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_21961_80c73b914f,chartqa,24,3,-21,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_23185_604ecf1c0c,chartqa,15,8,-7,too_early,False,False,IGNORE,False
online,chartqa:chartqa_train_two_col_23541_6b61393552,chartqa,18,0,-18,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_23541_777788eab6,chartqa,9,0,-9,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_2484_bf2b86e1a9,chartqa,1,3,2,within_2_late,False,True,READ_ONLY,True
online,chartqa:chartqa_train_two_col_3461_3a689f6f89,chartqa,5,6,1,within_1_late,True,True,READ_ONLY,False
online,chartqa:chartqa_train_two_col_3545_e12869ada2,chartqa,14,0,-14,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_40023_95d192854e,chartqa,3,6,3,too_late,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_5130_eb0e925c42,chartqa,25,3,-22,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_61324_bfa51f9c6f,chartqa,23,6,-17,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_6202_12d7abfa74,chartqa,9,0,-9,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_62563_cc3dd454f5,chartqa,13,4,-9,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_62988_7508339f16,chartqa,17,16,-1,within_1_early,True,True,IGNORE,False
online,chartqa:chartqa_train_two_col_63169_b63846d3fa,chartqa,23,0,-23,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_63319_ae30a16734,chartqa,22,0,-22,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_80736_2ea39dfe1d,chartqa,18,3,-15,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_80772_f4e1dfd629_dup1_row12116,chartqa,15,3,-12,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_81540_d6647dff36,chartqa,26,3,-23,too_early,False,False,READ_ONLY,False
online,chartqa:chartqa_train_two_col_916_605579b52b,chartqa,1,3,2,within_2_late,False,True,READ_ONLY,False
online,gqa:gqa_ge_06434348,gqa,6,0,-6,too_early,False,False,IGNORE,False
online,gqa:gqa_ge_07448711,gqa,7,14,7,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_ge_12538745,gqa,5,12,7,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_ge_12556656,gqa,15,16,1,within_1_late,True,True,WRITE_ONLY,False
online,gqa:gqa_ge_14160233,gqa,12,0,-12,too_early,False,False,READ_ONLY,True
online,gqa:gqa_gh_00179472,gqa,14,10,-4,too_early,False,False,READ_ONLY,False
online,gqa:gqa_gh_00393332,gqa,7,16,9,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_00498348,gqa,20,0,-20,too_early,False,False,READ_ONLY,False
online,gqa:gqa_gh_00784470,gqa,23,,,never,False,False,FULL,False
online,gqa:gqa_gh_0123475,gqa,20,14,-6,too_early,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_01907496,gqa,8,12,4,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_02172518,gqa,3,,,never,False,False,FULL,False
online,gqa:gqa_gh_02346952,gqa,22,10,-12,too_early,False,False,READ_ONLY,False
online,gqa:gqa_gh_02648995,gqa,7,,,never,False,False,FULL,False
online,gqa:gqa_gh_04816366,gqa,1,,,never,False,False,FULL,False
online,gqa:gqa_gh_05555883,gqa,23,,,never,False,False,FULL,False
online,gqa:gqa_gh_06231955,gqa,19,1,-18,too_early,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_06434721,gqa,21,16,-5,too_early,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_06513653,gqa,9,14,5,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_06576145,gqa,12,12,0,exact,True,True,IGNORE,False
online,gqa:gqa_gh_06832107,gqa,0,7,7,too_late,False,False,IGNORE,False
online,gqa:gqa_gh_06988888,gqa,14,7,-7,too_early,False,False,IGNORE,False
online,gqa:gqa_gh_071016612,gqa,1,16,15,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_07325803,gqa,17,15,-2,within_2_early,False,True,READ_ONLY,False
online,gqa:gqa_gh_07362328,gqa,1,1,0,exact,True,True,WRITE_ONLY,False
online,gqa:gqa_gh_08192457,gqa,18,1,-17,too_early,False,False,READ_ONLY,False
online,gqa:gqa_gh_0820856,gqa,9,4,-5,too_early,False,False,IGNORE,False
online,gqa:gqa_gh_10379664,gqa,9,,,never,False,False,FULL,False
online,gqa:gqa_gh_10563465,gqa,9,,,never,False,False,FULL,False
online,gqa:gqa_gh_10720915,gqa,16,16,0,exact,True,True,WRITE_ONLY,False
online,gqa:gqa_gh_11130463,gqa,25,16,-9,too_early,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_11350735,gqa,14,18,4,too_late,False,False,READ_ONLY,False
online,gqa:gqa_gh_11771087,gqa,7,11,4,too_late,False,False,READ_ONLY,False
online,gqa:gqa_gh_13622572,gqa,21,21,0,exact,True,True,WRITE_ONLY,False
online,gqa:gqa_gh_14601835,gqa,4,,,never,False,False,FULL,False
online,gqa:gqa_gh_15149528,gqa,15,4,-11,too_early,False,False,IGNORE,False
online,gqa:gqa_gh_15539526,gqa,1,4,3,too_late,False,False,WRITE_ONLY,False
online,gqa:gqa_gh_1625775,gqa,2,,,never,False,False,FULL,False
online,gqa:gqa_gh_16816815,gqa,25,6,-19,too_early,False,False,IGNORE,False
online,gqa:gqa_gh_17235569,gqa,1,,,never,False,False,FULL,False
online,gqa:gqa_gh_17412313,gqa,23,,,never,False,False,FULL,False
online,gqa:gqa_gh_18927231,gqa,21,18,-3,too_early,False,False,READ_ONLY,False
online,gqa:gqa_gh_19934073,gqa,13,24,11,too_late,False,False,READ_ONLY,False
online,textvqa:textvqa_22564,textvqa,12,0,-12,too_early,False,False,READ_ONLY,True
online,textvqa:textvqa_25354,textvqa,23,13,-10,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_26157,textvqa,2,,,never,False,False,FULL,False
online,textvqa:textvqa_27238,textvqa,6,,,never,False,False,FULL,False
online,textvqa:textvqa_27877,textvqa,24,19,-5,too_early,False,False,WRITE_ONLY,False
online,textvqa:textvqa_30738,textvqa,15,21,6,too_late,False,False,READ_ONLY,False
online,textvqa:textvqa_32900,textvqa,1,,,never,False,False,FULL,False
online,textvqa:textvqa_33193,textvqa,26,8,-18,too_early,False,False,READ_ONLY,True
online,textvqa:textvqa_train_1012,textvqa,27,20,-7,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_1062,textvqa,19,20,1,within_1_late,True,True,READ_ONLY,False
online,textvqa:textvqa_train_10915,textvqa,19,16,-3,too_early,False,False,WRITE_ONLY,False
online,textvqa:textvqa_train_1097,textvqa,19,0,-19,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_11104,textvqa,8,2,-6,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_11763,textvqa,13,,,never,False,False,FULL,False
online,textvqa:textvqa_train_1294,textvqa,27,,,never,False,False,FULL,False
online,textvqa:textvqa_train_14293,textvqa,26,,,never,False,False,FULL,False
online,textvqa:textvqa_train_14317,textvqa,7,13,6,too_late,False,False,READ_ONLY,False
online,textvqa:textvqa_train_14755,textvqa,16,2,-14,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_15100,textvqa,14,20,6,too_late,False,False,READ_ONLY,True
online,textvqa:textvqa_train_15287,textvqa,9,,,never,False,False,FULL,False
online,textvqa:textvqa_train_17888,textvqa,14,,,never,False,False,FULL,False
online,textvqa:textvqa_train_18295,textvqa,0,0,0,exact,True,True,READ_ONLY,False
online,textvqa:textvqa_train_19343,textvqa,0,1,1,within_1_late,True,True,READ_ONLY,False
online,textvqa:textvqa_train_19648,textvqa,13,,,never,False,False,FULL,False
online,textvqa:textvqa_train_19692,textvqa,22,7,-15,too_early,False,False,WRITE_ONLY,False
online,textvqa:textvqa_train_20166,textvqa,0,16,16,too_late,False,False,WRITE_ONLY,False
online,textvqa:textvqa_train_21220,textvqa,16,14,-2,within_2_early,False,True,READ_ONLY,False
online,textvqa:textvqa_train_21538,textvqa,14,22,8,too_late,False,False,WRITE_ONLY,False
online,textvqa:textvqa_train_2192,textvqa,24,1,-23,too_early,False,False,READ_ONLY,True
online,textvqa:textvqa_train_22087,textvqa,8,,,never,False,False,FULL,False
online,textvqa:textvqa_train_22147,textvqa,21,23,2,within_2_late,False,True,WRITE_ONLY,False
online,textvqa:textvqa_train_2773,textvqa,3,0,-3,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_294,textvqa,14,14,0,exact,True,True,WRITE_ONLY,False
online,textvqa:textvqa_train_6920,textvqa,4,,,never,False,False,FULL,False
online,textvqa:textvqa_train_7139,textvqa,14,16,2,within_2_late,False,True,WRITE_ONLY,False
online,textvqa:textvqa_train_7413,textvqa,21,0,-21,too_early,False,False,READ_ONLY,False
online,textvqa:textvqa_train_8037,textvqa,1,,,never,False,False,FULL,False
online,textvqa:textvqa_train_8319,textvqa,20,,,never,False,False,FULL,False
online,textvqa:textvqa_train_8564,textvqa,11,18,7,too_late,False,False,READ_ONLY,False
online,textvqa:textvqa_train_8903,textvqa,0,,,never,False,False,FULL,False
online,textvqa:textvqa_train_9350,textvqa,18,16,-2,within_2_early,False,True,WRITE_ONLY,False
online,textvqa:textvqa_train_962,textvqa,13,4,-9,too_early,False,False,IGNORE,False
